Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Name,Category,Description
31548,0.184928,0.245831,1.367689,-0.138516,0.12779,-1.095051,0.988345,-0.858874,-0.194488,-0.964946,-0.456445,0.33315,-0.806994,-1.952502,1.331403,-1.60035,0.124837,-0.691642,0.514548,-1.454687,-1.245252,0.282047,0.441809,-0.252114,0.747974,0.83077,-1.255085,-0.248684,207.62,0,AGL Energy,Utilities,AGL Energy payment
35479,0.838016,-1.936324,-1.952032,0.967865,-0.55514,0.19627,0.704961,-0.836037,0.021367,-1.913895,-0.296123,1.708666,-0.73606,0.071459,-1.469741,0.583273,0.088006,0.900412,0.320746,-0.255228,0.573515,0.798102,0.397898,0.568466,-0.771216,0.456961,-0.350389,0.076187,199.3,0,Big W,Entertainment,Big W payment
37114,-0.66166,-1.856955,0.095716,-0.973725,0.930481,0.034487,0.042788,-1.959316,0.997857,-0.300607,-0.019619,-1.256787,-0.562492,-0.426505,0.204309,1.050275,0.890162,0.164161,-0.438354,-0.918661,0.571111,0.966315,0.970257,1.002838,0.986575,0.168779,-0.215493,-0.092276,1640.13,0,Qantas,Travel,Qantas payment
38909,0.927986,0.303357,0.212257,0.864007,0.068832,-0.973918,0.023848,-1.888415,-0.0059,0.413372,1.235981,0.151277,0.92814,-0.000538,-1.023476,-1.41138,-0.969734,-1.366148,0.633708,-0.207615,0.570315,0.073431,1.04405,1.060193,-0.645338,-0.274316,-0.532829,-1.621312,174.28,0,Bupa Australia,Insurance,Bupa Australia payment
41430,1.391158,1.219232,0.466627,-0.105163,0.853528,0.138918,-1.110644,-2.261612,-1.262027,0.958083,1.360441,0.703943,-0.323183,-0.332421,0.274369,-1.929475,-0.410209,-0.299658,1.738106,-0.177042,-0.606524,0.86642,-0.816036,0.862767,-1.055631,1.635308,0.207333,-0.424359,111.66,0,Chemist Warehouse,Utilities,Chemist Warehouse payment
44073,0.356365,0.510398,-1.436403,-0.197499,-1.675776,-1.494555,0.172446,-1.104884,0.613801,-1.19103,-0.329387,0.674457,0.741444,-0.322945,-1.587276,0.506909,-1.344616,-0.631177,-0.603232,0.99988,-0.525056,1.030253,-0.473197,0.61143,-0.249497,1.323329,0.929249,-0.871445,19.81,0,Stan,Entertainment,Stan payment
47996,-1.059129,0.705974,0.069086,1.134949,-0.258936,-1.059245,0.829939,0.090271,-0.616014,0.42204,-0.493898,-0.822817,-0.866531,-0.302611,1.264131,-0.026759,-0.656466,0.882265,-0.252168,0.67863,-0.156262,-0.856654,-0.109773,-2.452515,-0.239435,-0.606565,-0.057556,-0.802493,51.31,0,BP Australia,Travel,BP Australia payment
51149,0.530236,0.387923,0.088681,0.622636,1.231129,0.109733,-0.411734,2.674436,-1.460133,-0.508736,1.412742,1.435642,-2.027116,0.116303,-1.006105,-0.505207,-0.594273,0.233267,2.256708,0.754892,-1.840127,0.259186,-0.318441,0.229205,-0.228085,-0.241197,0.761384,1.036921,3803.47,0,ANZ,Salary,ANZ payment
51537,-1.388539,-1.095593,0.185039,1.201851,-1.029526,0.330838,1.937595,-2.337162,-0.475008,1.309561,-1.267294,-5.215212,0.64586,-2.65482,0.356332,1.425892,-5.559932,0.515546,0.06521,0.03326,-1.277947,0.410763,-0.186017,0.701402,-0.416301,-1.501551,-1.461812,0.434361,845.13,1,Kmart,Entertainment,Suspicious Kmart charge
53318,-1.040713,0.465913,0.632785,0.219717,0.273323,0.355852,-1.296659,1.013794,-2.013384,-1.043461,0.419569,-0.338328,0.956851,-0.173621,1.234031,-1.248175,0.514634,1.251132,-1.042691,-0.182021,-0.138848,0.197768,1.484734,0.851172,-1.022114,1.686832,0.221128,0.568517,60.49,0,Telstra,Utilities,Telstra payment
55285,-1.180677,-0.598947,3.350153,-1.687963,0.71933,1.10562,-0.217718,-0.738094,0.479226,0.468821,0.361771,-0.994056,0.616527,-0.528062,-0.862734,0.018027,-0.272855,0.648936,0.400815,1.284284,1.145533,1.233779,-1.401034,2.017553,0.014592,-0.324369,0.079004,-1.386735,52.67,0,Priceline Pharmacy,Utilities,Priceline Pharmacy payment
57886,-0.161387,0.560421,0.604454,0.843622,-0.783811,1.38705,0.254396,0.479621,-1.49807,-0.061815,0.154002,-3.626692,0.38986,-6.452403,-0.412037,1.36533,-3.568387,1.318048,1.912733,-0.406498,1.509673,-0.989772,0.581241,-1.087978,0.191857,0.399757,0.512976,-1.343727,117.13,1,Uber,Travel,Suspicious Uber charge
59318,0.349734,-0.736611,-0.399432,1.268372,1.159834,-0.007999,0.739905,0.999718,-0.713035,1.047443,-1.061574,-0.297092,-0.281834,0.581968,-0.421891,-1.232204,0.178216,1.719417,1.590722,0.447522,-0.507084,-1.754769,-1.113974,0.968761,1.209247,-2.53876,-0.274553,0.008061,1689.54,0,Qantas,Travel,Qantas payment
63312,0.757932,-0.765683,-1.090344,-0.179379,-0.176967,-1.011867,-0.326145,-0.478493,-2.58999,0.502664,-0.811375,1.304439,-1.150124,-1.579598,1.187624,-1.585055,-0.636174,0.597337,-0.329646,-1.655472,0.188035,-0.194323,1.283855,0.588648,3.035714,-1.645894,-0.021675,-1.066654,106.72,0,Ampol,Travel,Ampol payment
66466,-1.443584,0.533303,0.252079,-0.174987,0.238244,-0.79858,-0.39624,0.397032,-1.267241,-0.251377,0.161147,-0.588771,1.779238,0.963179,-0.542061,-0.507176,0.474494,-0.289422,-0.742812,0.185011,-0.004598,0.137341,0.724169,-2.026101,-0.257624,-0.526804,-0.85982,0.329663,32.98,0,Hungry Jack's,Food,Hungry Jack's payment
67731,-0.001192,1.93199,0.309153,0.935785,-0.731798,0.077497,-1.176556,-0.571106,0.835641,-0.038397,1.451296,-0.202416,-0.197936,1.276682,-0.648617,-1.519765,1.301277,0.414188,-2.165195,0.044529,-0.403787,1.74484,-0.728991,-0.580768,-0.910401,-1.054056,-0.700496,-1.435924,4283.54,0,ANZ,Salary,ANZ payment
70559,1.184312,-0.822342,-0.390192,1.005151,-1.424901,-0.778384,0.705751,0.448713,-0.009837,-0.621449,0.839991,0.919184,1.210628,-0.219217,1.612453,-0.97441,-0.081699,1.864329,-1.800636,0.206264,-0.01966,-0.909261,1.923494,1.699437,1.651703,2.016013,1.024208,-1.235831,1186.6,0,NRMA Insurance,Insurance,NRMA Insurance payment
74063,0.042333,-0.16199,-1.072481,-0.250877,-0.696288,-1.321645,-1.602904,-0.941985,0.445602,-0.175481,0.022846,0.223974,0.958966,-0.853671,0.609477,-0.359122,1.718485,0.720908,0.714491,-0.457296,-0.460151,0.298979,0.803868,-0.282233,-0.451721,0.020948,0.41008,-0.351315,196.62,0,Dan Murphy's,Entertainment,Dan Murphy's payment
75622,0.982848,-0.347067,-0.028134,-0.57872,-0.392907,0.232749,-1.021859,0.0685,0.246055,-0.077355,-0.74363,0.78662,1.872637,-0.601243,1.234463,0.889264,-2.653252,-0.761194,-0.63584,0.781772,0.188488,0.474398,0.636279,-0.898917,-0.74655,-1.222889,-0.170271,-0.119103,1792.69,0,Webjet,Travel,Webjet payment
76659,0.522715,1.807911,-1.252439,-0.443876,0.281074,-0.67196,0.268894,-1.742445,-0.663726,-0.457078,2.946255,-0.296666,-1.733151,-0.447499,1.54672,1.278353,0.636923,0.693843,0.318828,-1.294588,0.781489,0.077744,0.730966,0.7473,0.273866,0.237345,-0.8985,0.302744,296.81,0,Target Australia,Entertainment,Target Australia payment
77145,-1.208418,-1.066806,1.232165,-0.79558,-0.457698,1.361051,3.553501,0.704529,0.605042,-0.863209,1.229217,0.990658,-2.009254,0.743946,-0.248061,0.509497,0.982014,0.99683,-1.356561,-0.806469,-0.988551,0.917796,-0.330389,1.139941,-1.607109,0.753791,1.097461,0.960384,3498.42,0,ANZ,Salary,ANZ payment
80137,0.788408,-0.668317,0.471536,-0.891671,-0.110598,-0.858659,-0.293662,0.708667,1.459477,-0.43805,-0.431691,0.07041,0.914077,0.543412,-0.032825,-0.965098,0.240586,0.256571,1.236974,-0.345722,-0.495454,-0.901406,1.668189,-1.697642,-1.969136,1.035694,0.780944,0.261612,5594.72,0,Westpac,Salary,Westpac payment
81617,0.646485,0.947813,0.532757,-0.76032,-0.463488,-0.171041,-0.127848,0.70458,-1.157922,0.552785,0.152422,-1.386012,-0.579284,-1.136498,-1.134327,-0.926393,-0.0843,-0.227277,-0.247007,1.67732,0.819169,-0.440091,0.232313,0.505225,-0.20883,-0.317238,-0.151515,-2.667329,31.76,0,Kmart,Entertainment,Kmart payment
84713,-0.560627,0.168063,-0.334459,0.819997,1.25653,-0.484686,0.432204,-0.389115,0.008904,-0.319386,0.942962,0.530668,-1.214007,0.628064,-0.597977,0.357795,-0.917433,-0.071312,1.154938,0.966374,-1.019956,-0.675819,-0.253317,0.65885,0.334076,-0.032754,0.68102,2.312764,31.99,0,McDonald's Australia,Food,McDonald's Australia payment
87883,1.656008,0.080493,0.440253,0.873452,-0.338043,-1.128305,0.906001,-1.568764,1.788837,0.870433,0.187691,0.051096,1.751358,-0.946226,-1.160193,-0.598136,-0.261797,-1.006469,0.153861,0.135945,-0.813857,1.603053,-1.392074,-1.276723,0.37612,-0.207483,0.417727,-0.618971,232.08,0,Bunnings Warehouse,Utilities,Bunnings Warehouse payment
89563,-0.336748,0.846261,-0.302508,0.525978,-0.491007,-0.032389,-2.169981,-0.135867,-0.942529,1.308046,0.771231,-1.667454,0.048491,0.560658,0.441775,1.284308,0.09364,-1.456917,0.760882,1.544452,-1.674706,0.061932,0.067704,-1.089547,1.145713,-0.59146,-0.923657,-1.05165,3800.64,0,ANZ,Salary,ANZ payment
90897,-0.261119,0.757684,1.116554,0.411298,-0.406316,1.018603,1.768522,0.660534,1.770677,0.926599,0.848859,-4.026385,-1.113549,-5.922866,-1.669458,-0.592954,-3.97718,-0.665155,0.533191,-1.351251,-0.493641,1.02344,0.208512,0.290283,1.704724,1.296804,-0.876857,1.317899,496.55,1,Medibank,Insurance,Suspicious Medibank charge
93083,1.07304,-0.56882,0.584385,-0.763616,0.492929,-1.441274,-1.018173,-0.222085,-0.295037,1.248406,0.842762,-0.341504,1.567212,-1.205507,-1.811899,0.629875,-0.643641,-0.479282,-0.274334,-1.537695,2.121475,-0.317293,-0.945699,-1.950114,-1.326035,-0.355555,0.904969,0.474037,674.55,0,Virgin Australia,Travel,Virgin Australia payment
96001,-1.769339,-0.48263,-1.123309,-0.637831,-0.833311,-0.613311,0.724264,0.294591,0.628732,1.092342,-0.372703,0.079895,0.538153,1.706739,0.899078,1.381551,1.018965,1.057265,-1.78467,0.880859,0.212925,0.054214,-0.527255,-0.425274,0.416181,0.839976,-1.497786,0.218104,1174.23,0,NRMA Insurance,Insurance,NRMA Insurance payment
96219,-0.560687,0.084831,1.080506,-0.361733,1.621747,-1.172711,0.389789,-0.663787,1.693049,-1.862815,0.367306,-1.635786,1.789986,1.107611,-0.108635,-0.194512,0.961398,-2.564923,-0.446983,0.733482,-1.641192,0.489364,0.579565,-1.286062,-1.578242,-0.438225,-0.156344,1.106154,551.36,0,Virgin Australia,Travel,Virgin Australia payment
96602,-1.608189,0.467606,-0.316471,-2.234962,0.926203,0.191453,1.078483,-0.13618,0.188467,1.115326,0.387797,0.288002,3.214391,-0.169,0.169186,1.734029,-0.805008,-1.040997,-1.432066,0.533662,0.625631,0.741488,-1.35356,1.005859,1.197266,-0.097311,0.032566,0.675596,2453.58,0,Harvey Norman,Entertainment,Harvey Norman payment
98889,0.367144,-1.532957,0.802374,0.039549,0.50824,0.103591,1.423642,-0.258168,-0.251161,0.609913,-1.006786,-1.377772,-0.317561,-1.418574,-0.723332,-0.014349,0.054086,-0.782847,1.038354,0.570058,1.371703,-0.935482,-0.139048,1.200016,-0.361727,0.269973,-1.159368,2.016252,508.2,0,Officeworks,Utilities,Officeworks payment
101532,0.259016,-0.015847,-0.93982,0.676929,0.30595,-0.257829,-0.390389,-1.463537,-0.82753,0.623308,0.692921,-0.757759,1.218481,0.735148,-1.329627,1.132868,-0.137194,0.222181,0.490251,-0.507745,-2.343704,0.652985,0.15453,0.532103,-2.014027,-0.345139,0.789447,-1.475033,74.54,0,Aldi,Food,Aldi payment
102609,1.097028,-0.447815,1.93971,1.394984,0.432072,-0.260523,1.773256,-0.932522,0.390035,-2.326445,0.925561,-0.341306,0.545077,-0.340667,-0.89421,0.230624,-0.753173,0.912744,0.521468,-2.956218,1.37734,0.35295,0.755675,0.712582,0.535707,-0.307368,1.042306,-0.12184,5.09,0,Opal Travel,Travel,Opal Travel payment
104088,-0.591393,1.173766,-0.728373,-1.310718,0.56778,0.088565,-0.332105,-0.485206,-0.898351,-1.65924,-0.136734,0.134799,0.21237,0.874779,-1.225447,-0.480788,0.196772,0.126504,1.433942,-1.582786,1.861464,0.565278,0.116639,-0.915607,0.297991,-0.375445,0.138002,0.620142,591.29,0,Virgin Australia,Travel,Virgin Australia payment
106788,0.727898,0.633159,0.104011,-2.198997,-0.246202,1.275535,1.164477,-0.197935,-0.666236,-1.174091,-0.994849,0.668356,-0.005758,0.258062,0.295429,0.73836,1.397838,1.823702,-0.031372,2.875415,-0.594316,-0.776163,-1.367535,-0.787719,-0.25593,-0.180769,0.556865,-0.390142,81.12,0,Big W,Entertainment,Big W payment
110078,-1.502397,1.764578,-0.165319,0.097167,1.163221,-0.836391,0.999506,-2.795247,0.580593,1.423757,1.511787,0.922961,0.404562,-0.235431,-1.116825,-0.869293,0.545597,-0.461246,-0.234653,-0.160489,0.358276,-1.179342,0.257139,1.300926,1.356615,-1.262753,-0.421758,0.058606,38.81,0,Priceline Pharmacy,Utilities,Priceline Pharmacy payment
113848,-0.522367,-0.846066,-0.096648,1.227422,1.987994,0.372674,2.398824,-0.811731,-0.096839,0.5816,0.314333,0.771097,-0.21694,-0.976094,-0.976369,1.191738,0.792815,-1.105033,-0.719017,0.664992,1.231531,0.740954,-0.52423,0.257552,-0.133419,0.269831,-0.310829,1.628099,142.87,0,Ampol,Travel,Ampol payment
116555,-0.545485,-0.182795,-0.167613,0.962675,-0.806668,-0.532755,-0.659935,0.058398,1.81393,-0.913484,0.611679,-0.220698,-0.543538,-0.964128,0.565111,-0.298999,0.469889,0.56537,-0.670576,0.917923,-0.069206,-1.36006,1.004997,-0.471728,-0.044532,0.02653,0.510591,-0.523673,114.81,0,Sydney Water,Utilities,Sydney Water payment
117783,0.171623,-2.232673,1.26172,1.498085,-1.055534,1.461664,-0.646178,0.217465,0.547586,1.121146,-0.028399,0.850363,-0.807889,0.843846,0.535886,-0.715517,0.197046,-0.273527,-0.157945,-0.264091,1.323053,0.823096,-1.247066,-0.028542,0.124929,0.418531,0.335294,-0.086662,113.77,0,IGA,Food,IGA payment
119321,0.950369,-0.536054,0.627449,-0.826767,0.716533,-1.77711,-0.575655,-0.982421,-0.960949,0.31145,0.326128,-6.145623,2.103462,-3.638075,-0.339085,0.837433,-5.927875,-0.233374,0.166468,1.534319,0.382805,0.402613,-1.141518,1.2544,1.702586,1.477923,1.781505,-0.41705,93.01,1,Dan Murphy's,Entertainment,Suspicious Dan Murphy's charge
120738,-1.283966,0.082022,-0.180902,0.028777,-0.235415,0.420427,-0.742327,0.429369,1.631446,-1.204734,-0.927347,-0.978374,-0.14225,1.45314,1.294232,-0.229595,0.045666,0.321491,-1.209688,0.149355,-0.310849,-1.697994,-1.355154,1.269528,0.063901,1.302247,-0.199044,-0.619485,3730.72,0,ANZ,Salary,ANZ payment
122062,0.337236,1.131308,-0.863589,-0.728037,0.934336,-1.313975,-0.331729,-1.162934,-3.287295,-1.322767,-0.963584,0.131762,1.068723,-0.298257,-1.230053,-0.25979,-0.903245,-1.796893,-0.760602,-1.636222,-0.103694,1.145968,0.779971,-0.214233,-0.714874,2.272865,1.706779,-0.191033,560.08,0,Virgin Australia,Travel,Virgin Australia payment
122951,-1.271945,0.16228,1.465731,-0.639913,-0.307057,1.268816,-2.048705,-0.570032,-0.725391,0.566092,0.081277,-0.556918,2.406643,0.651342,1.996119,1.081576,-0.923952,-1.377578,0.420918,1.828329,-0.170119,1.273662,-0.06514,0.476537,-0.042306,-0.738374,2.061143,0.680682,8360.32,0,Vanguard Australia,Investment,Vanguard Australia payment
125604,-1.489389,0.260867,1.678637,1.964607,0.580715,-0.08112,-1.181425,-1.689847,-1.433208,0.220544,0.030557,-7.043128,-0.077074,-5.01906,0.17062,-1.443507,-4.101745,1.6281,0.162532,-0.222725,0.916194,-0.492711,1.219287,-1.986755,1.852802,0.430559,0.151713,-0.62397,511.76,1,Origin Energy,Utilities,Suspicious Origin Energy charge
127970,0.267902,-0.560555,0.947275,-0.769262,-0.945648,0.412051,-0.344118,-0.797974,-0.021127,0.323659,-0.83561,-0.171096,-1.435478,-0.033017,-0.165162,-0.43516,0.714016,-0.299641,-0.582648,-1.094023,-0.916161,-0.875637,0.591147,-0.476007,0.893223,2.335497,1.595477,-2.320089,136.58,0,Kmart,Entertainment,Kmart payment
129078,0.33088,-0.095315,0.889242,-1.133172,-0.64598,-0.068467,0.941535,0.12761,1.479077,-0.576053,0.127263,-0.885534,-2.084822,1.30548,-1.110717,-0.52287,-1.327691,0.89141,-0.348823,0.457522,2.469944,-1.091417,0.150564,0.964892,-0.067782,-0.656907,-2.108911,0.083089,116.65,0,Woolworths,Food,Woolworths payment
